codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
737081,2024-01-02,C,pending,,,0
737099,2024-01-02,C,pending,,,0
737101,2024-01-02,C,pending,,,0
737103,2024-01-02,C,pending,,,0
737104,2024-01-02,C,pending,,,0
737107,2024-01-02,C,pending,,,0
737109,2024-01-02,C,pending,,,0
737110,2024-01-02,C,pending,,,0
737286,2024-01-03,C,pending,,,0
737339,2024-01-03,C,pending,,,0
737345,2024-01-03,C,pending,,,0
737352,2024-01-03,C,pending,,,0
737535,2024-01-04,C,pending,,,0
737537,2024-01-04,C,pending,,,0
737539,2024-01-04,C,pending,,,0
737540,2024-01-04,C,pending,,,0
737925,2024-01-08,C,pending,,,0
738296,2024-01-09,C,pending,,,0
738493,2024-01-10,C,pending,,,0
738501,2024-01-10,C,pending,,,0
738506,2024-01-10,C,pending,,,0
738512,2024-01-10,C,pending,,,0
738615,2024-01-10,C,pending,,,0
738647,2024-01-10,C,pending,,,0
738798,2024-01-11,C,pending,,,0
738917,2024-01-11,C,pending,,,0
738924,2024-01-11,C,pending,,,0
738951,2024-01-11,C,pending,,,0
739000,2024-01-11,C,pending,,,0
739002,2024-01-11,C,pending,,,0
739024,2024-01-11,C,pending,,,0
739094,2024-01-12,C,pending,,,0
739101,2024-01-12,C,pending,,,0
739110,2024-01-12,C,pending,,,0
739116,2024-01-12,C,pending,,,0
739124,2024-01-12,C,pending,,,0
739129,2024-01-12,C,pending,,,0
739136,2024-01-12,C,pending,,,0
739138,2024-01-12,C,pending,,,0
739210,2024-01-12,C,pending,,,0
739261,2024-01-12,C,pending,,,0
739332,2024-01-15,C,pending,,,0
739336,2024-01-15,C,pending,,,0
739338,2024-01-15,C,pending,,,0
739344,2024-01-15,C,pending,,,0
739354,2024-01-15,C,pending,,,0
739358,2024-01-15,C,pending,,,0
739364,2024-01-15,C,pending,,,0
739379,2024-01-15,C,pending,,,0
739409,2024-01-15,C,pending,,,0
739415,2024-01-15,C,pending,,,0
739417,2024-01-15,C,pending,,,0
739423,2024-01-15,C,pending,,,0
739426,2024-01-15,C,pending,,,0
739476,2024-01-15,C,pending,,,0
739484,2024-01-15,C,pending,,,0
739550,2024-01-16,C,pending,,,0
739553,2024-01-16,C,pending,,,0
739579,2024-01-16,C,pending,,,0
739602,2024-01-16,C,pending,,,0
739609,2024-01-16,C,pending,,,0
739614,2024-01-16,C,pending,,,0
739625,2024-01-16,C,pending,,,0
739630,2024-01-16,C,pending,,,0
739637,2024-01-16,C,pending,,,0
739641,2024-01-16,C,pending,,,0
739664,2024-01-16,C,pending,,,0
739741,2024-01-17,C,pending,,,0
739816,2024-01-17,C,pending,,,0
740019,2024-01-18,C,pending,,,0
740067,2024-01-18,C,pending,,,0
740073,2024-01-18,C,pending,,,0
740084,2024-01-18,C,pending,,,0
740089,2024-01-18,C,pending,,,0
740094,2024-01-18,C,pending,,,0
740101,2024-01-18,C,pending,,,0
740126,2024-01-18,C,pending,,,0
740161,2024-01-19,C,pending,,,0
740168,2024-01-19,C,pending,,,0
740529,2024-01-22,C,pending,,,0
740614,2024-01-23,C,pending,,,0
740618,2024-01-23,C,pending,,,0
740715,2024-01-23,C,pending,,,0
740931,2024-01-24,C,pending,,,0
740932,2024-01-24,C,pending,,,0
741074,2024-01-25,C,pending,,,0
741150,2024-01-25,C,pending,,,0
741203,2024-01-25,C,pending,,,0
741206,2024-01-25,C,pending,,,0
741208,2024-01-25,C,pending,,,0
741209,2024-01-25,C,pending,,,0
741211,2024-01-25,C,pending,,,0
741213,2024-01-25,C,pending,,,0
741215,2024-01-25,C,pending,,,0
741216,2024-01-25,C,pending,,,0
741217,2024-01-25,C,pending,,,0
741219,2024-01-25,C,pending,,,0
741301,2024-01-26,C,pending,,,0
741322,2024-01-26,C,pending,,,0
741336,2024-01-26,C,pending,,,0
741338,2024-01-26,C,pending,,,0
741341,2024-01-26,C,pending,,,0
741346,2024-01-26,C,pending,,,0
741348,2024-01-26,C,pending,,,0
741350,2024-01-26,C,pending,,,0
741351,2024-01-26,C,pending,,,0
741354,2024-01-26,C,pending,,,0
741364,2024-01-26,C,pending,,,0
741368,2024-01-26,C,pending,,,0
741376,2024-01-26,C,pending,,,0
741381,2024-01-26,C,pending,,,0
741384,2024-01-26,C,pending,,,0
741437,2024-01-26,C,pending,,,0
741474,2024-01-29,C,pending,,,0
741493,2024-01-29,C,pending,,,0
741595,2024-01-29,C,pending,,,0
741608,2024-01-29,C,pending,,,0
742168,2024-02-01,C,pending,,,0
742368,2024-02-02,C,pending,,,0
742455,2024-02-05,C,pending,,,0
742456,2024-02-05,C,pending,,,0
742465,2024-02-05,C,pending,,,0
742466,2024-02-05,C,pending,,,0
742471,2024-02-05,C,pending,,,0
742474,2024-02-05,C,pending,,,0
742476,2024-02-05,C,pending,,,0
742484,2024-02-05,C,pending,,,0
742495,2024-02-05,C,pending,,,0
742501,2024-02-05,C,pending,,,0
742515,2024-02-05,C,pending,,,0
742517,2024-02-05,C,pending,,,0
742520,2024-02-05,C,pending,,,0
742590,2024-02-05,C,pending,,,0
742596,2024-02-05,C,pending,,,0
742991,2024-02-07,C,pending,,,0
743005,2024-02-07,C,pending,,,0
743073,2024-02-07,C,pending,,,0
743092,2024-02-07,C,pending,,,0
743179,2024-02-08,C,pending,,,0
743194,2024-02-08,C,pending,,,0
743238,2024-02-08,C,pending,,,0
743265,2024-02-08,C,pending,,,0
743320,2024-02-08,C,pending,,,0
743325,2024-02-08,C,pending,,,0
743341,2024-02-08,C,pending,,,0
743487,2024-02-09,C,pending,,,0
743520,2024-02-12,C,pending,,,0
743583,2024-02-12,C,pending,,,0
743600,2024-02-12,C,pending,,,0
743610,2024-02-12,C,pending,,,0
743665,2024-02-12,C,pending,,,0
743667,2024-02-12,C,pending,,,0
743668,2024-02-12,C,pending,,,0
743693,2024-02-13,C,pending,,,0
743699,2024-02-13,C,pending,,,0
743719,2024-02-13,C,pending,,,0
743764,2024-02-13,C,pending,,,0
743785,2024-02-13,C,pending,,,0
743807,2024-02-13,C,pending,,,0
743821,2024-02-13,C,pending,,,0
743842,2024-02-13,C,pending,,,0
743844,2024-02-13,C,pending,,,0
743858,2024-02-14,C,pending,,,0
743946,2024-02-14,C,pending,,,0
743957,2024-02-14,C,pending,,,0
743974,2024-02-14,C,pending,,,0
743976,2024-02-14,C,pending,,,0
744011,2024-02-14,C,pending,,,0
744012,2024-02-14,C,pending,,,0
744013,2024-02-14,C,pending,,,0
744014,2024-02-14,C,pending,,,0
744191,2024-02-15,C,pending,,,0
744194,2024-02-15,C,pending,,,0
744387,2024-02-16,C,pending,,,0
